Latin-Title,Bulgarian-Title,Resource-URL
Hydnum rufescens,Оранжева рогачка|Червено-кафява рогачка,http://manatarka.org/hydnum-rufescens
Hygrocybe acutoconica,Жълта черешова гъба,http://manatarka.org/hygrocybe-acutoconica
Hygrocybe ceracea,Восъчна черешова гъба,http://manatarka.org/hygrocybe-ceracea
Hygrocybe citrinovirens,Лимоненожълта черешова гъба,http://manatarka.org/hygrocybe-citrinovirens
Hygrocybe coccinea,Червена черешова гъба,http://manatarka.org/hygrocybe-coccinea
Hygrocybe conica,Чернееща черешова гъба|Шапка на вещица,http://manatarka.org/hygrocybe-conica
Hygrocybe nitrata,Сиво-кафява черешова гъба,http://manatarka.org/hygrocybe-nitrata
Hygrocybe perplexa,Захаросана черешова гъба|Керемиденочервена черешова гъба,http://manatarka.org/hygrocybe-perplexa
Hygrocybe pratensis,Есенна ливадна гъба|Ливаден пачи крак,http://manatarka.org/hygrocybe-pratensis
Hygrocybe psittacina,Папагалска черешова гъба,http://manatarka.org/hygrocybe-psittacina
Hygrocybe russocoriacea,Парфюмирана ливадна гъба,http://manatarka.org/hygrocybe-russocoriacea
Hygrocybe spadicea,Кафяво-жълта черешова гъба,http://manatarka.org/hygrocybe-spadicea
Hygrocybe virginea,Снежнобяла ливадна гъба,http://manatarka.org/hygrocybe-virginea
Hygrophoropsis aurantiaca,Лъжлив пачи крак,http://manatarka.org/hygrophoropsis-aurantiaca
Hygrophorus abieticola,Оранжев хигрофорус,http://manatarka.org/hygrophorus-abieticola
Hygrophorus agathosmus,Бадемова гъба,http://manatarka.org/hygrophorus-agathosmus
Hygrophorus chrysodon,Златистозърнеста седефенка,http://manatarka.org/hygrophorus-chrysodon
Hygrophorus eburneus,Бяла седефена гъба|Седефена гъба|Снежанка,http://manatarka.org/hygrophorus-eburneus
Hygrophorus erubescens,Червенеещ хигрофорус,http://manatarka.org/hygrophorus-erubescens
Hygrophorus hypothejus,Кехлибарена гъба,http://manatarka.org/hygrophorus-hypothejus
Hygrophorus marzuolus,Мартенска седефена гъба|Мартовка,http://manatarka.org/hygrophorus-marzuolus
Hygrophorus russula,Меднянка,http://manatarka.org/hygrophorus-russula
Hypholoma capnoides,Борова пънчушка,http://manatarka.org/hypholoma-capnoides
Hypholoma fasciculare,Лъжлива пънчушка|Отровна пънчушка,http://manatarka.org/hypholoma-fasciculare
Hypholoma sublateritium,Горчива пънчушка,http://manatarka.org/hypholoma-sublateritium
Imleria badia,Канеленокафява манатарка,http://manatarka.org/imleria-badia
Imperator luteocupreus,Медножълта манатарка,http://manatarka.org/imperator-luteocupreus
Imperator rhodopurpureus,Пурпурна манатарка,http://manatarka.org/imperator-rhodopurpureus
Infundibulicybe geotropa,Едра миризливка|Едра орешарка,http://manatarka.org/infundibulicybe-geotropa
Infundibulicybe gibba,Жълто-кафява миризливка|Лисичка|Фуниевидна орешарка,http://manatarka.org/infundibulicybe-gibba
Inocybe erubescens,Вълчи зъб|Патуйардова гъба|Патуярдиева гъба,http://manatarka.org/inocybe-erubescens/
Inocybe geophylla,Виолетов вълчи зъб,http://manatarka.org/inocybe-geophylla
Inonotus obliquus,Чага,http://manatarka.org/inonotus-obliquus
Kuehneromyces mutabilis,Кичуреста пънчушка,http://manatarka.org/kuehneromyces-mutabilis
Laccaria amethystina,Аметистова гъба|Аметистова хамелеонова гъба|Лилавка,http://manatarka.org/laccaria-amethystina
Laccaria laccata,Хамелеонова гъба,http://manatarka.org/laccaria-laccata
Lactarius aurantiacus,Оранжева млечница,http://manatarka.org/lactarius-aurantiacus
Lactarius blennius,Букова млечница|Сиво-зелена млечница,http://manatarka.org/lactarius-blennius
Lactarius chrysorrheus,Жълтееща млечница,http://manatarka.org/lactarius-chrysorrheus
Lactarius controversus,Розовееща млечница,http://manatarka.org/lactarius-controversus
Lactarius deliciosus,Истинска млечница|Млечница|Обикновена млечница|Рижийка|Рижика|Червена млечница,http://manatarka.org/lactarius-deliciosus
Lactarius deterrimus,Лъжлива рижика|Смърчова млечница|Смърчова рижика,http://manatarka.org/lactarius-deterrimus
Lactarius flavidus,Бледожълта млечница,http://manatarka.org/lactarius-flavidus
Lactarius glyciosmus,Кокосова млечница,http://manatarka.org/lactarius-glyciosmus
Lactarius hemicyaneus,Синкава рижика,http://manatarka.org/lactarius-hemicyaneus
Lactarius pallidus,Бледа млечница,http://manatarka.org/lactarius-pallidus
Lactarius pubescens,Бяла мъхеста млечница|Бяла мъхната млечница,http://manatarka.org/lactarius-pubescens
Lactarius quietus,Дъбова млечница,http://manatarka.org/lactarius-quietus
Lactarius rufus,Дъбарка,http://manatarka.org/lactarius-rufus
Lactarius salmonicolor,Елова рижика,http://manatarka.org/lactarius-salmonicolor
