Latin-Title,Bulgarian-Title,Resource-URL
Thelephora terrestris,Земна телефора,http://manatarka.org/thelephora-terrestris
Tuber borchii,Зимен бял трюфел,http://manatarka.org/tuber-borchii
Flammulina velutipes,Зимна прирънка,http://manatarka.org/flammulina-velutipes
Tulostoma brumale,Зимна тулостома,http://manatarka.org/tulostoma-brumale
Flammulina velutipes,Зимненка,http://manatarka.org/flammulina-velutipes
Craterellus lutescens,Златист пачи крак,http://manatarka.org/craterellus-lutescens
Arachnopeziza aurelia,Златиста арахнопезиза,http://manatarka.org/arachnopeziza-aurelia
Russula aurea,Златиста гълъбка,http://manatarka.org/russula-aurea
Phaeolepiota aurea,Златистожълта люспеница,http://manatarka.org/phaeolepiota-aurea
Hygrophorus chrysodon,Златистозърнеста седефенка,http://manatarka.org/hygrophorus-chrysodon
Xerocomellus chrysenteron,Златистомрежеста манатарка,http://manatarka.org/xerocomellus-chrysenteron
Aureoboletus gentilis,Златистотръбеста манатарка,http://manatarka.org/aureoboletus-gentilis
Russula aurea,Златисточервена гълъбка,http://manatarka.org/russula-aurea
Russula aurea,Златна гълъбка,http://manatarka.org/russula-aurea
Macrolepiota procera,Змийска гъба,http://manatarka.org/macrolepiota-procera
Lactarius zonarius,Зонирана млечница,http://manatarka.org/lactarius-zonarius
Elaphomyces granulatus,Зърнест трюфел,http://manatarka.org/elaphomyces-granulatus
Elaphomyces granulatus,Зърнест червено-кафяв трюфел,http://manatarka.org/elaphomyces-granulatus
Gyromitra perlata,Зърнеста дисцина,http://manatarka.org/gyromitra-perlata
Coprinus micaceus,Зърнеста копринка,http://manatarka.org/coprinus-micaceus
Suillus granulatus,Зърнеста масловка,http://manatarka.org/suillus-granulatus
Lycoperdon perlatum,Зърнеста пърхутка,http://manatarka.org/lycoperdon-perlatum
Macrolepiota mastoidea,Зърнеста сърнела,http://manatarka.org/macrolepiota-mastoidea
Elaphomyces granulatus,Зърнист трюфел,http://manatarka.org/elaphomyces-granulatus
Lycoperdon echinatum,Иглеста пърхутка,http://manatarka.org/lycoperdon-echinatum
Hericium erinaceus,Игловиден корал,http://manatarka.org/hericium-erinaceus
Mycena acicula,Игловидна мицена,http://manatarka.org/mycena-acicula
Trametes gibbosa,Изгърбен траметес,http://manatarka.org/trametes-gibbosa
Lactarius deliciosus,Истинска млечница,http://manatarka.org/lactarius-deliciosus
Agrocybe cylindracea,Каваклийка,http://manatarka.org/agrocybe-cylindracea
Trametes versicolor,Каваратаке,http://manatarka.org/trametes-versicolor
Paxillus atrotomentosus,Кадифена киселка,http://manatarka.org/paxillus-atrotomentosus
Lactifluus vellereus,Кадифена млечница,http://manatarka.org/lactifluus-vellereus
Entoloma clypeatum,Кайсиевка,http://manatarka.org/entoloma-clypeatum
Cortinarius cinnamomeus,Канелен паяжинник,http://manatarka.org/cortinarius-cinnamomeus
Imleria badia,Канеленокафява манатарка,http://manatarka.org/imleria-badia
Agaricus xanthodermus,Карболка,http://manatarka.org/agaricus-xanthodermus
Agaricus xanthodermus,Карболова печурка,http://manatarka.org/agaricus-xanthodermus
Helvella fusca,Кафява бучка,http://manatarka.org/helvella-fusca
Russula vesca,Кафява гълъбка,http://manatarka.org/russula-vesca
Tricholoma imbricatum,Кафява есенна гъба,http://manatarka.org/tricholoma-imbricatum
Lycoperdon umbrinum,Кафява пърхутка,http://manatarka.org/lycoperdon-umbrinum
Sarcodon imbricatus,Кафява сърненка,http://manatarka.org/sarcodon-imbricatus
Russula vesca,Кафяво-виолетова гълъбка,http://manatarka.org/russula-vesca
Mycena pelianthina,Кафяво-виолетова мицена,http://manatarka.org/mycena-pelianthina
Hygrocybe spadicea,Кафяво-жълта черешова гъба,http://manatarka.org/hygrocybe-spadicea
Albatrellus cristatus,Кафяво-зелена прахан,http://manatarka.org/albatrellus-cristatus
Paralepista flaccida,Кафяво-червена орешарка,http://manatarka.org/paralepista-flaccida
Disciotis venosa,Кафяво керино ухо,http://manatarka.org/disciotis-venosa
Russula queletii,Келетова гълъбка,http://manatarka.org/russula-queletii
Suillellus queletii,Келетова манатарка,http://manatarka.org/suillellus-queletii
Cystodermella cinnabarina,Керемиденочервена зърненка,http://manatarka.org/cystodermella-cinnabarina
Hygrocybe perplexa,Керемиденочервена черешова гъба,http://manatarka.org/hygrocybe-perplexa
Sarcoscypha coccinea,Керино ухо,http://manatarka.org/sarcoscypha-coccinea
Gyroporus castaneus,Кестенка,http://manatarka.org/gyroporus-castaneus
Lanzia echinophila,Кестенова ланция,http://manatarka.org/lanzia-echinophila
Tricholoma batschii,Кестенокафява есенна гъба,http://manatarka.org/tricholoma-batschii
Polyporus badius,Кестеняв полипорус,http://manatarka.org/polyporus-badius
Gyroporus castaneus,Кестенява манатарка,http://manatarka.org/gyroporus-castaneus
Lepiota castanea,Кестенява сърнелка,http://manatarka.org/lepiota-castanea
Hygrophorus hypothejus,Кехлибарена гъба,http://manatarka.org/hygrophorus-hypothejus
Pithya cupressina,Кипарисова пития,http://manatarka.org/pithya-cupressina
Paxillus involutus,Киселка,http://manatarka.org/paxillus-involutus
Auricularia auricula-judae,Китайска черна дървесна гъба,http://manatarka.org/auricularia-auriculajudae
Albatrellus confluens,Кифла,http://manatarka.org/albatrellus-confluens
Pleurotus cornucopiae,Кичуреста кладница,http://manatarka.org/pleurotus-cornucopiae
Kuehneromyces mutabilis,Кичуреста пънчушка,http://manatarka.org/kuehneromyces-mutabilis
Mycena galericulata,Кичуреста ряповка,http://manatarka.org/mycena-galericulata
Lyophyllum decastes,Кичурка,http://manatarka.org/lyophyllum-decastes
Pleurotus ostreatus,Кладница,http://manatarka.org/pleurotus-ostreatus
Agaricus essettei,Клубеновидна печурка,http://manatarka.org/agaricus-essettei
Lactifluus piperatus,Козарка,http://manatarka.org/lactifluus-piperatus
Albatrellus pes-caprae,Кози крак,http://manatarka.org/albatrellus-pes-caprae
Ramaria formosa,Козя брада,http://manatarka.org/ramaria-formosa
Lactarius glyciosmus,Кокосова млечница,http://manatarka.org/lactarius-glyciosmus
Marasmius oreades,Кокошинка,http://manatarka.org/marasmius-oreades
Morchella elata,Конична пумпалка,http://manatarka.org/morchella-elata
Macrolepiota procera,Конска гъба,http://manatarka.org/macrolepiota-procera
Verpa conica,Конусовидна верпа,http://manatarka.org/verpa-conica
Volvariella bombycina,Копринена гъба,http://manatarka.org/volvariella-bombycina
Hericium coralloides,Корал,http://manatarka.org/hericium-coralloides
Ramaria,Коралка,http://manatarka.org/ramaria
Clavulina coralloides,Кораловидна клавулина,http://manatarka.org/clavulina-coralloides
Polyporus rhizophilus,Коренолюбив полипорус,http://manatarka.org/polyporus-rhizophilus
Morchella esculenta,Корминка,http://manatarka.org/morchella-esculenta
Geastrum coronatum,Коронована земна звезда,http://manatarka.org/geastrum-coronatum
Suillus bovinus,Кравешка гъба,http://manatarka.org/suillus-bovinus
Suillus bovinus,Кравешка масловка,http://manatarka.org/suillus-bovinus
Agaricus augustus,Кралска печурка,http://manatarka.org/agaricus-augustus
Russula rosea,Красива гълъбка,http://manatarka.org/russula-rosea
Ramaria formosa,Красива коралка,http://manatarka.org/ramaria-formosa
Caloboletus calopus,Красива манатарка,http://manatarka.org/caloboletus-calopus
Suillus grevillei,Красива масловка,http://manatarka.org/suillus-grevillei
Macrolepiota mastoidea,Красива сърнела,http://manatarka.org/macrolepiota-mastoidea
Caloboletus calopus,Красивостъблена манатарка,http://manatarka.org/caloboletus-calopus
Crepidotus,Крепидотус,http://manatarka.org/crepidotus
Lycoperdon pyriforme,Крушовидна пърхутка,http://manatarka.org/lycoperdon-pyriforme
Macrolepiota procera,Кукумарка,http://manatarka.org/macrolepiota-procera
Auricularia auricula-judae,Купичка,http://manatarka.org/auricularia-auriculajudae
Mutinus caninus,Кучешки мутинус,http://manatarka.org/mutinus-caninus
Helvella crispa,Къдрава бучка,http://manatarka.org/helvella-crispa
Sparassis crispa,Къдравка,http://manatarka.org/sparassis-crispa
